Id,Code,Description
21,1011,lorem ipsum
22,1012,lorem ipsum 2 
23,1013,Fabricarea produselor din carne (inclusiv din carne de pas?re
24,1020,Prelucrarea ?i conservarea pe?telui
2,1031,Prelucrarea ?i conservarea cartofilor
3,1032,Fabricarea sucurilor de fructe ?i legume
4,1039,Prelucrarea ?i conservarea fructelor ?i legumelor
5,1041,Fabricarea uleiurilor ?i gr?similor
6,1042,Fabricarea margarinei ?i a altor produse comestibile similare
7,1051,Fabricarea produselor lactate ?i a br?nzeturilor
8,1052,Fabricarea ?nghe?atei
9,1061,Fabricarea produselor de mor?rit
10,1062,Fabricarea amidonului ?i a produselor din amidon
11,1071,Fabricarea p?inii; fabricarea pr?jiturilor ?i a produselor proaspete de patiserie
12,1072,Fabricarea biscui?ilor ?i pi?coturilor; fabricarea pr?jiturilor ?i a produselor conservate de patiserie
13,1073,Fabricarea macaroanelor
14,1081,Fabricarea zah?rului
15,1082,Fabricarea produselor din cacao
16,1083,Prelucrarea ceaiului ?i cafelei
17,1084,Fabricarea condimentelor ?i ingredientelor
18,1085,Fabricarea de m?nc?ruri preparate
19,1086,Fabricarea preparatelor alimentare omogenizate ?i alimentelor dietetice
25,1089,Fabricarea altor produse alimentare n.c.a.
26,1091,Fabricarea preparatelor pentru hrana animalelor de ferm?
27,1092,Fabricarea preparatelor pentru hrana animalelor de companie
28,1101,Distilarea
29,1102,Fabricarea vinurilor din struguri
30,1103,Fabricarea cidrului ?i a altor vinuri din fructe
31,1104,Fabricarea altor b?uturi nedistilate
32,1105,Fabricarea berii
33,1106,Fabricarea mal?ului
34,1107,Produc?ia de b?uturi r?coritoare nealcoolice; produc?ia de ape minerale ?i alte ape ?mbuteliate
35,1200,Fabricarea produselor din tutun
36,1310,Preg?tirea fibrelor ?i filarea fibrelor textile
37,1320,Produc?ia de ?es?turi
38,1330,Finisarea materialelor textile
39,1391,Fabricarea de metraje prin tricotare sau cro?etare
40,1392,Fabricarea de articole confec?ionate din textile (cu excep?ia ?mbr?c?mintei ?i lenjeriei de corp
41,1393,Fabricarea de covoare ?i mochete
42,1394,Fabricarea de odgoane
43,1395,Fabricarea de textile ne?esute ?i articole din acestea
44,1396,Fabricarea de articole tehnice ?i industriale din textile
45,1399,Fabricarea altor articole textile n.c.a.
46,1411,Fabricarea articolelor de ?mbr?c?minte din piele
47,1412,Fabricarea articolelor de ?mbr?c?minte pentru lucru
48,1413,Fabricarea altor articole de ?mbr?c?minte (exclusiv lenjeria de corp
49,1414,Fabricarea de articole de lenjerie de corp
50,1419,Fabricarea altor articole de ?mbr?c?minte ?i accesorii n.c.a.
51,1420,Fabricarea articolelor din blan?
52,1431,Fabricarea prin tricotare sau cro?etare a ciorapilor ?i articolelor de galanterie
53,1439,Fabricarea prin tricotare sau cro?etare a altor articole de ?mbr?c?minte
54,1511,T?b?cirea ?i finisarea pieilor; prepararea ?i vopsirea bl?nurilor
55,1512,Fabricarea articolelor de voiaj ?i marochin?rie ?i a articolelor de harna?ament
56,1520,Fabricarea ?nc?l??mintei
57,1610,T?ierea ?i rindeluirea lemnului
58,1621,Fabricarea de furnire ?i a panourilor de lemn
59,1622,Fabricarea parchetului asamblat ?n panouri
133,1623,Fabricarea altor elemente de dulgherie ?i t?mpl?rie
134,1624,Fabricarea ambalajelor din lemn
135,1629,Fabricarea altor produse din lemn; fabricarea articolelor din plut?
136,1711,Fabricarea celulozei
137,1712,Fabricarea h?rtiei ?i cartonului
60,1721,Fabricarea h?rtiei ?i cartonului ondulat ?i a ambalajelor din h?rtie ?i carton
61,1722,Fabricarea produselor de uz gospod?resc ?i sanitar
62,1723,Fabricarea articolelor de papet?rie
63,1724,Fabricarea tapetului
64,1729,Fabricarea altor articole din h?rtie ?i carton n.c.a.
65,1811,Tip?rirea ziarelor
66,1812,Alte activit??i de tip?rire n.c.a.
67,1813,Servicii preg?titoare pentru pretip?rire
68,1814,Leg?torie ?i servicii conexe
69,1820,Reproducerea ?nregistr?rilor
70,1910,Fabricarea produselor de cocserie
422,1920,Fabricarea produselor ob?inute din prelucrarea ?i?eiului
71,2011,Fabricarea gazelor industriale
72,2012,Fabricarea coloran?ilor ?i a pigmen?ilor
73,2013,Fabricarea altor produse chimice anorganice
74,2014,Fabricarea altor produse chimice organice
75,2015,Fabricarea ?ngr???mintelor ?i produselor azotoase
76,2016,Fabricarea materialelor plastice ?n forme primare
77,2017,Fabricarea cauciucului sintetic ?n forme primare
78,2020,Fabricarea pesticidelor ?i a altor produse agrochimice
79,2030,Fabricarea vopselelor
80,2041,Fabricarea s?punurilor
81,2042,Fabricarea parfumurilor ?i a produselor cosmetice (de toalet?
82,2051,Fabricarea explozivilor
83,2052,Fabricarea cleiurilor
84,2053,Fabricarea uleiurilor esen?iale
85,2059,Fabricarea altor produse chimice n.c.a.
86,2060,Fabricarea fibrelor sintetice ?i artificiale
87,2110,Fabricarea produselor farmaceutice de baz?
88,2120,Fabricarea preparatelor farmaceutice
89,2211,Fabricarea anvelopelor ?i a camerelor de aer; re?aparea ?i refacerea anvelopelor
90,2219,Fabricarea altor produse din cauciuc
91,2221,Fabricarea pl?cilor
92,2222,Fabricarea articolelor de ambalaj din material plastic
93,2223,Fabricarea articolelor din material plastic pentru construc?ii
94,2229,Fabricarea altor produse din material plastic
95,2311,Fabricarea sticlei plate
96,2312,Prelucrarea ?i fasonarea sticlei plate
97,2313,Fabricarea articolelor din sticl?
98,2314,Fabricarea fibrelor din sticl?
99,2319,Fabricarea de sticl?rie tehnic?
100,2320,Fabricarea de produse refractare
101,2331,Fabricarea pl?cilor ?i dalelor din ceramic?
102,2332,Fabricarea c?r?mizilor
103,2341,Fabricarea articolelor ceramice pentru uz gospod?resc ?i ornamental
104,2342,Fabricarea de obiecte sanitare din ceramic?
105,2343,Fabricarea izolatorilor ?i pieselor izolante din ceramic?
106,2344,Fabricarea altor produse tehnice din ceramic?
107,2349,Fabricarea altor produse ceramice n.c.a.
108,2351,Fabricarea cimentului
109,2352,Fabricarea varului ?i ipsosului
110,2361,Fabricarea produselor din beton pentru construc?ii
111,2362,Fabricarea produselor din ipsos pentru construc?ii
112,2363,Fabricarea betonului
113,2364,Fabricarea mortarului
114,2365,Fabricarea produselor din azbociment
115,2369,Fabricarea altor articole din beton
116,2370,T?ierea
117,2391,Fabricarea de produse abrazive
118,2399,Fabricarea altor produse din minerale nemetalice
119,2410,Produc?ia de metale feroase sub forme primare ?i de feroaliaje
120,2420,Produc?ia de tuburi
121,2431,Tragere la rece a barelor
122,2432,Laminare la rece a benzilor ?nguste
123,2433,Produc?ia de profiluri ob?inute la rece
124,2434,Trefilarea firelor la rece
125,2441,Produc?ia metalelor pre?ioase
126,2442,Metalurgia aluminiului
127,2443,Produc?ia plumbului
128,2444,Metalurgia cuprului
129,2445,Produc?ia altor metale neferoase
130,2446,Prelucrarea combustibililor nucleari
131,2451,Turnarea fontei
132,2452,Turnarea o?elului
138,2453,Turnarea metalelor neferoase u?oare
139,2454,Turnarea altor metale neferoase
140,2511,Fabricarea de construc?ii metalice ?i p?r?i componente ale structurilor metalice
141,2512,Fabricarea de u?i ?i ferestre din metal
142,2521,Produc?ia de radiatoare ?i cazane pentru ?nc?lzire central?
143,2529,Produc?ia de rezervoare
144,2530,Produc?ia generatoarelor de aburi (cu excep?ia cazanelor pentru ?nc?lzire central?
145,2540,Fabricarea armamentului ?i muni?iei
146,2550,Fabricarea produselor metalice ob?inute prin deformare plastic?; metalurgia pulberilor
147,2561,Tratarea ?i acoperirea metalelor
148,2562,Opera?iuni de mecanic? general?
149,2571,Fabricarea produselor de t?iat
150,2572,Fabricarea articolelor de feronerie
151,2573,Fabricarea uneltelor
152,2591,Fabricarea de recipien?i
153,2592,Fabricarea ambalajelor u?oare din metal
154,2593,Fabricarea articolelor din fire metalice; fabricarea de lan?uri ?i arcuri
155,2594,Fabricarea de ?uruburi
156,2599,Fabricarea altor articole din metal n.c.a.
157,2611,Fabricarea subansamblurilor electronice (module
158,2612,Fabricarea altor componente electronice
159,2620,Fabricarea calculatoarelor ?i a echipamentelor periferice
160,2630,Fabricarea echipamentelor de comunica?ii
161,2640,Fabricarea produselor electronice de larg consum
162,2651,Fabricarea de instrumente ?i dispozitive pentru m?sur?
163,2652,Productia de ceasuri
164,2660,Fabricarea de echipamente pentru radiologie
165,2670,Fabricarea de instrumente optice ?i echipamente fotografice
