Id,Counties,City
70,Alba,Alba Iulia
67,Arad,Arad
68,Arges,Pizza
49,Bacau,Biryani
50,Bihor,Oradea
51,Bistrita-Nasaud,Bistrita
52,Botosani,Botosani
54,Braila,Braila
53,Brasov,Brasov
55,Bucuresti,Municipality of Bucharest
56,Buzau,Buzau
58,Calarasi,Calarasi
57,Caras-Severin,Resita
59,Cluj,Cluj-Napoca
15,Constanta,Constanta
16,Covasna,Sfantu Gheorghe
17,Dambovita,Targoviste
60,Dolj,Craiova
19,Galati,Galati
20,Giurgiu,Giurgiu
21,Gorj,Targu Jiu
22,Harghita,Miercurea Ciuc
23,Hunedoara,Deva
24,Ialomita,Slobozia
61,Iasi,Iasi
62,Ilfov,Buftea
27,Maramures,Baia Mare
28,Mehedinti,Drobeta-Turnu Severin
29,Mures,Targu Mures
30,Neamt,Piatra Neamt
65,Nina Pena,McKenzie Gross
31,Olt,Slatina
32,Prahova,Ploiesti
34,Salaj,Zalau
33,Satu Mare,Satu Mare
35,Sibiu,Sibiu
36,Suceava,Suceava
37,Teleorman,Alexandria
38,Timis,Timisoara
39,Tulcea,Tulcea
41,Valcea,Ramnicu Valcea
40,Vaslui,Vaslui
63,Vrancea,Focsani
