Id,Code,Description
1,0111,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase"
2,0112,Cultivarea orezului
3,0113,"Cultivarea legumelor si a pepenilor, a radacinoaselor si tuberculilor"
4,0114,Cultivarea trestiei de zahar
5,0115,Cultivarea tutunului
6,0116,Cultivarea plantelor pentru fibre textile
7,0119,Cultivarea altor plante din culturi nepermanente
8,0121,Cultivarea strugurilor
9,0122,Cultivarea fructelor tropicale si subtropicale
10,0123,Cultivarea fructelor citrice
11,0124,Cultivarea fructelor semintoase si samburoase
12,0125,"Cultivarea fructelor arbustilor fructiferi, capsunilor, nuciferilor si a altor pomi fructiferi"
13,0126,Cultivarea fructelor oleaginoase
14,0127,Cultivarea plantelor pentru prepararea bauturilor
15,0128,"Cultivarea condimentelor, plantelor aromatice, medicinale si a plantelor de uz farmaceutic"
16,0129,Cultivarea altor plante permanente
17,0130,Cultivarea plantelor pentru inmultire
18,0141,Cresterea bovinelor de lapte
19,0142,Cresterea altor bovine
20,0143,Cresterea cailor si a altor cabaline
21,0144,Cresterea camilelor si a camelidelor
22,0145,Cresterea ovinelor si caprinelor
23,0146,Cresterea porcinelor
24,0147,Cresterea pasarilor
25,0149,Cresterea altor animale
26,0150,Activitati in ferme mixte (cultura vegetala combinata cu Cresterea animalelor)
27,0161,Activitati auxiliare pentru productia vegetala
28,0162,Activitati auxiliare pentru Cresterea animalelor
29,0163,Activitati dupa recoltare
30,0164,Pregatirea semintelor
31,0170,"Vanatoare, capturarea cu capcane a vanatului si Activitati de servicii anexe vanatorii"
32,0210,Silvicultura si alte Activitati forestiere
33,0220,Exploatarea forestiera
34,0230,Colectarea produselor forestiere nelemnoase din flora spontana
35,0240,Activitati de servicii anexe Silviculturai
36,0311,Pescuitul maritim
37,0312,Pescuitul in ape dulci
38,0321,Acvacultura maritima
39,0322,Acvacultura in ape dulci
40,0510,Extractia carbunelui superior (PCS => 23865 kJ/kg)
41,0520,Extractia carbunelui inferior (PCS < 23865 kJ/kg)
42,0610,Extractia petrolului brut
43,0620,Extractia gazelor naturale
44,0710,Extractia minereurilor feroase
45,0721,Extractia minereurilor de uraniu si toriu
46,0729,Extractia altor minereuri metalifere neferoase
47,0811,"Extractia pietrei ornamentale si a pietrei pentru constructii, Extractia pietrei calcaroase, ghipsului, cretei si a ardeziei"
48,0812,Extractia pietrisului si nisipului; Extractia argilei si caolinului
49,0891,Extractia mineralelor pentru industria chimica si a ingrasamintelor naturale
50,0892,Extractia turbei
51,0893,Extractia sarii
52,0899,Alte Activitati extractive n.c.a.
53,0910,Activitati de servicii anexe extractiei petrolului brut si gazelor naturale
54,0990,Activitati de servicii anexe pentru Extractia mineralelor
55,1011,Prelucrarea si conservarea carnii
56,1012,Prelucrarea si conservarea carnii de pasare
