County,City
Alba,Alba Iulia
Alba,Cugir
Alba,Aiud
Alba,Sebes
Alba,Blaj
Alba,Ocna Mures
Alba,Teius
Alba,Campeni
Alba,Abrud
Alba,Zlatna
Alba,Petresti
Alba,Unirea
Alba,Baia de Aries
Alba,Daia Romana
Alba,Vintu de Jos
Alba,Vinerea
Alba,Mihalt
Alba,Aiudul de Sus
Alba,Bucerdea Granoasa
Alba,Barabant
Alba,Lunca Muresului
Alba,Izvoarele
Alba,Cetatea de Balta
Alba,Craciunelu de Jos
Alba,Galda de Jos
Alba,Sard
Alba,Valea Lunga
Alba,Oarda
Alba,Tiur
Alba,Sancel
Alba,Pianu de Sus
Alba,Bistra
Alba,Veza
Alba,Rosia Montana
Alba,Razboieni-Cetate
Alba,Sasciori
Alba,Ciumbrud
Alba,Lancram
Alba,Sanmiclaus
Alba,Garbova
Alba,Stremt
Alba,Micesti
Alba,Uioara de Sus
Alba,Biia
Alba,Cut
Alba,Abrud-Sat
Alba,Uioara de Jos
Alba,Sibot
Alba,Sugag
Alba,Salistea
Alba,Jidvei
Alba,Telna
Alba,Calnic
Alba,Cricau
Alba,Ighiu
Alba,Fenes
Alba,Santimbru
Alba,Pianu de Jos
Alba,Lopadea Noua
Alba,Balcaciu
Alba,Cenade
Alba,Dobra
Alba,Sebesel
Alba,Bucerdea Vanoasa
Alba,Ighiel
Alba,Veseus
Alba,Cergau Mare
Alba,Feisa
Alba,Sancrai
Alba,Sona
Alba,Capalna
Alba,Miraslau
Alba,Rahau
Alba,Capalna de Jos
Alba,Geoagiu de Sus
Alba,Almasu Mare
Alba,Oiejdea
Alba,Noslac
Alba,Manarade
Alba,Rosia de Secas
Alba,Livezile
Alba,Obreja
Alba,Scarisoara
Alba,Tatarlaua
Alba,Lupsa
Alba,Coltesti
Alba,Ciuguzel
Alba,Tartaria
Alba,Rachita
Alba,Valea Lupsii
Alba,Farau
Alba,Decea
Alba,Radesti
Alba,Panade
Alba,Ohaba
Alba,Ampoita
Alba,Ghirbom
Alba,Vingard
Alba,Salciua de Jos
Alba,Paclisa
Alba,Blandiana
Alba,Cistei
Alba,Berghin
Alba,Cisteiu de Mures
Alba,Rametea
Alba,Balomiru de Camp
Alba,Tauti
Alba,Magina
Alba,Salciua de Sus
Alba,Bagau
Alba,Dostat
Alba,Ciuruleasa
Alba,Loman
Alba,Spring
Alba,Seusa
Alba,Cunta
Alba,Trampoiele
Alba,Musca
Alba,Tau
Alba,Gambas
Alba,Drasov
Alba,Totoi
Alba,Cetea
Alba,Lunca
Alba,Beta
Alba,Valea Vintului
Alba,Gura Ariesului
Alba,Posaga de Jos
Alba,Martinie
Alba,Albac
Alba,Ocolis
Alba,Valea Mica
Alba,Deal
Alba,Poiana Aiudului
Alba,Benic
Alba,Hapria
Alba,Acmariu
Alba,Henig
Alba,Tauni
Alba,Sartas
Alba,Silea
Alba,Izvoru Ampoiului
Alba,Geomal
Alba,Galda de Sus
Alba,Laz
Alba,Galati
Alba,Garbova de Jos
Alba,Matisesti
Alba,Presaca Ampoiului
Alba,Vurpar
Alba,Lunca Tarnavei
Alba,Arti
Alba,Iclod
Alba,Metes
Alba,Tibru
Alba,Garde
Alba,Garda de Sus
Alba,Ciugud
Alba,Mahaceni
Alba,Ciugudu de Jos
Alba,Muncelu
Alba,Lopadea Veche
Alba,Tau Bistra
Alba,Patrangeni
Alba,Coslariu
Alba,Straja
Alba,Hoparta
Alba,Galtiu
Alba,Daroaia
Alba,Carpinis
Alba,Cib
Alba,Captalan
Alba,Dumbrava
Alba,Purcareti
Alba,Teleac
Alba,Heria
Alba,Cergau Mic
Alba,Valea Bistrii
Alba,Darlesti
Alba,Craiva
Alba,Lupu
Alba,Sanbenedic
Alba,Drambar
Alba,Boz
Alba,Capud
Alba,Hadarau
Alba,Turdas
Alba,Leorint
Alba,Corna
Alba,Tarsa
Alba,Garbova de Sus
Alba,Sagagea
Alba,Lazuri
Alba,Ungurei
Alba,Santamarie
Alba,Secasel
Alba,Izvoarele
Alba,Poiana Ampoiului
Alba,Micoslaca
Alba,Gabud
Alba,Carpinis
Alba,Spalnaca
Alba,Bacainti
Alba,Hodisesti
Alba,Dealu Capsei
Alba,Fata
Alba,Tonea
Alba,Petrisat
Alba,Brazesti
Alba,Ocoale
Alba,Cioara de Sus
Alba,Barsana
Alba,Ciugudu de Sus
Alba,Horea
Alba,Gura Cornei
Alba,Limba
Alba,Valeni
Alba,Alecus
Alba,Ciuldesti
Alba,Petelca
Alba,Valisoara
Alba,Mescreac
Alba,Lodroman
Alba,Reciu
Alba,Dealu Frumos
Alba,Glod
Alba,Inoc
Alba,Posaga de Sus
Alba,Dealu Muntelui
Alba,Dealu Lamasoi
Alba,Medves
Alba,Soharu
Alba,Valtori
Alba,Cicau
Alba,Saracsau
Alba,Craciunelu de Sus
Alba,Lunca
Alba,Salistea-Deal
Alba,Beldiu
Alba,Curaturi
Alba,Vama Seaca
Alba,Cobles
Alba,Almasu de Mijloc
Alba,Parau Gruiului
Alba,Copand
Alba,Geogel
Alba,Asinip
Alba,Vale In Jos
Alba,Carpen
Alba,Nadastia
Alba,Glogovet
Alba,Sohodol
Alba,Necsesti
Alba,Cretesti
Alba,Strungari
Alba,Stiuleti
Alba,Valea Sesii
Alba,Silivas
Alba,Stana de Mures
Alba,Mesentea
Alba,Necrilesti
Alba,Fata Cristesei
Alba,Barasti
Alba,Pitiga
Alba,Bucium-Sat
Alba,Fericet
Alba,Galbena
Alba,Runc
Alba,Gura Sohodol
Alba,Costesti
Alba,Mereteu
Alba,Lipaia
Alba,Vartop
Alba,Moraresti
Alba,Bradeana
Alba,Runc
Alba,Vadu Motilor
Alba,Sub Piatra
Alba,Patrusesti
Alba,Poiana Vadului
Alba,Valea Larga
Alba,Varsi
Alba,Lunca Ampoitei
Alba,Mihoesti
Alba,Valea Morii
Alba,Negesti
Alba,Poienile-Mogos
Alba,Pastesti
Alba,Floresti
Alba,Matisesti
Alba,Dealu Bajului
Alba,Avram Iancu
Alba,Fagetu de Sus
Alba,Dupa Plese
Alba,Lazuri
Alba,Poiana Galdei
Alba,Tarina
Alba,Suseni
Alba,Vai
Alba,Stanesti
Alba,Boncesti
Alba,Pagida
Alba,Garbovita
Alba,Pirita
Alba,Bodesti
Alba,Orasti
Alba,Poduri-Bricesti
Alba,Fata Abrudului
Alba,Vidolm
Alba,Modolesti
Alba,Inuri
Alba,Popestii de Sus
Alba,Botesti
Alba,Mogos
Alba,Ponor
Alba,Valea Manastirii
Alba,Boglesti
Alba,Dric
Alba,Lunca Merilor
Alba,Trisoresti
Alba,Mugesti
Alba,Poduri
Alba,Costesti
Alba,Ganesti
Alba,Plai
Alba,Plesi
Alba,Barlesti
Alba,Garda Seaca
Alba,Valea Abruzel
Alba,Hudricesti
Alba,Bilanesti
Alba,Fata Lapusului
Alba,Buninginea
Alba,Izlaz
Alba,Poieni
Alba,Borlesti
Alba,Bucuru
Alba,Coasta Hentii
Alba,Valea Caselor
Alba,Campu Goblii
Alba,Cotorasti
Alba,Dumitra
Alba,Jidostina
Alba,Plescuta
Alba,Valea Barnii
Alba,Coasta Vascului
Alba,Valea Negrilesii
Alba,Dealu Caselor
Alba,Lunca
Alba,Tomutesti
Alba,Ghioncani
Alba,Lunca Metesului
Alba,Ormenis
Alba,Parau lui Mihai
Alba,Cerbu
Alba,Ghetari
Alba,Duduieni
Alba,Dupa Deal
Alba,Lunca Larga
Alba,Biharia
Alba,Intregalde
Alba,Pantesti
Alba,Dealu Bistrii
Alba,Calene
Alba,Luminesti
Alba,Ratitis
Alba,Snide
Alba,Bucium
Alba,Cionesti
Alba,Fagetu de Jos
Alba,Feteni
Alba,Lespezea
Alba,Soal
Alba,Dolesti
Alba,Fata-Lazesti
Alba,Lazesti
Alba,Valea Alba
Alba,Valea Inzelului
Alba,Dandut
Alba,Dumbrava
Alba,Hanasesti
