Id;Code;Description
1;0111;Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase
2;0112;Cultivarea orezului
3;0113;Cultivarea legumelor si a pepenilor, a radacinoaselor si tuberculilor
4;0114;Cultivarea trestiei de zahar
5;0115;Cultivarea tutunului
6;0116;Cultivarea plantelor pentru fibre textile
7;0119;Cultivarea altor plante din culturi nepermanente
8;0121;Cultivarea strugurilor
9;0122;Cultivarea fructelor tropicale si subtropicale
10;0123;Cultivarea fructelor citrice
11;0124;Cultivarea fructelor semintoase si samburoase
12;0125;Cultivarea fructelor arbustilor fructiferi, capsunilor, nuciferilor si a altor pomi fructiferi
13;0126;Cultivarea fructelor oleaginoase
14;0127;Cultivarea plantelor pentru prepararea bauturilor
15;0128;Cultivarea condimentelor, plantelor aromatice, medicinale si a plantelor de uz farmaceutic
16;0129;Cultivarea altor plante permanente
17;0130;Cultivarea plantelor pentru inmultire
18;0141;Cresterea bovinelor de lapte
19;0142;Cresterea altor bovine
20;0143;Cresterea cailor si a altor cabaline
21;0144;Cresterea camilelor si a camelidelor
22;0145;Cresterea ovinelor si caprinelor
23;0146;Cresterea porcinelor
24;0147;Cresterea pasarilor
25;0149;Cresterea altor animale
55;1011;Prelucrarea si conservarea carnii
