Code,Description,
1330,Boiangerie,
4711,"Comert cu amanuntul in magazine nespecializate, cu vanzare predominanta de produse alimentare, bauturi si tutun",
4622,"Comert cu plante medicinale, seminte de legume, fructe si flori",
4776,"Comert cu plante medicinale, seminte de legume, fructe si flori",
4789,"Comert cu plante medicinale, seminte de legume, fructe si flori",
4721,Comert cu produse agricole si alimentare,
4724,Comert cu produse agricole si alimentare,
4729,Comert cu produse agricole si alimentare,
4781,Comert cu produse agricole si alimentare,
4789.,Comert cu produse agricole si alimentare,
4649,Comert cu obiecte de uz casnic si unelte gospodaresti,
4751,Comert cu obiecte de uz casnic si unelte gospodaresti,
4752,Comert cu obiecte de uz casnic si unelte gospodaresti,
4753,Comert cu obiecte de uz casnic si unelte gospodaresti,
4754,Comert cu obiecte de uz casnic si unelte gospodaresti,
4759,Comert cu obiecte de uz casnic si unelte gospodaresti,
4789 .,Comert cu obiecte de uz casnic si unelte gospodaresti,
4642,Comert cu imbracaminte si incaltaminte noua si uzata,
4771,Comert cu imbracaminte si incaltaminte noua si uzata,
4772,Comert cu imbracaminte si incaltaminte noua si uzata,
4779,Comert cu imbracaminte si incaltaminte noua si uzata,
4782,Comert cu imbracaminte si incaltaminte noua si uzata,
4752.,Comert cu ambalaje din sticla,
4789  .,Comert cu ambalaje din sticla,
4763,Comert cu casete audio/video CD-uri si DVD-uri,
4789   .,Comert cu casete audio/video CD-uri si DVD-uri,
4743,"Comert cu amanuntul al echipamentelor audio/video, in magazine specializate",
4611,Comert cu animale si pasari vii,
4623,Comert cu animale si pasari vii,
4789    .,Comert cu animale si pasari vii,
4624,"Comert cu lana, piei crude",
4789     .,"Comert cu lana, piei crude",
4776.,Comercializare de stuf,
4776 .,"Comercializarea cainilor si pisicilor de rasa, pasarilor ornamentale, broastelor testoase, a animalelor pentru blana si a altor animale de companie, inclusiv hrana specifica acestora",
4789      .,"Comercializarea cainilor si pisicilor de rasa, pasarilor ornamentale, broastelor testoase, a animalelor pentru blana si a altor animale de companie, inclusiv hrana specifica acestora",
2229,Comercializare de flori naturale/artificiale si confectionare si/sau comercializare de aranjamente florale din flori naturale/artificiale,
3299,Comercializare de flori naturale/artificiale si confectionare si/sau comercializare de aranjamente florale din flori naturale/artificiale,
4776  .,Comercializare de flori naturale/artificiale si confectionare si/sau comercializare de aranjamente florale din flori naturale/artificiale,
4789       .,Comercializare de flori naturale/artificiale si confectionare si/sau comercializare de aranjamente florale din flori naturale/artificiale,
4531,Comercializare piese si accesorii pentru autovehicule,
4532,Comercializare piese si accesorii pentru autovehicule,
1520,Confectionare si/sau comercializare de incaltaminte,
4772.,Confectionare si/sau comercializare de incaltaminte,
4782.,Confectionare si/sau comercializare de incaltaminte,
1392,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
1394,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
1395,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
1399,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
1411,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
1431,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
1439,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
1621,"Confectionare, comercializare si/sau reparare de obiecte din lemn, fire textile, materiale textile, deseuri textile, piele, plastic, ceramica, aluminiu, cupru, sarma, cauciuc, sticla, fibra de sticla, hartie, papura, nuiele, trestie, paie, iasca, foi de porumb, ceara, os, sfoara, pluta, stuf",
