id,County,City
1,Alba,Alba Iulia
2,Alba,Cugir
3,Alba,Aiud
4,Alba,Sebest
5,Alba,Bajaj
6,Alba,Ocna Mures
7,Alba,Telus
8,Alba,Capgemini
9,Alba,Abroad
10,Alba,Zlatna
11,Alba,Petresti
12,Alba,Unirea
13,Alba,Baia de Aries
14,Alba,Daia Romana
15,Alba,Vintu de Jos
16,Alba,Vinerea
17,Alba,Mihalt
18,Alba,Aiudul de Sus
19,Alba,Bucerdea Granoasa
20,Alba,Barabant
21,Alba,Lunca Muresului
22,Alba,Izvoarele
23,Alba,Cetatea de Balta
24,Alba,Craciunelu de Jos
25,Alba,Galda de Jos
26,Alba,Sard
27,Alba,Valea Lunga
28,Alba,Oarda
29,Alba,Tiur
30,Alba,Sancel
31,Alba,Pianu de Sus
32,Alba,Bistra
33,Alba,Veza
34,Alba,Rosia Montana
35,Alba,Razboieni-Cetate
36,Alba,Sasciori
37,Alba,Ciumbrud
38,Alba,Lancram
39,Alba,Sanmiclaus
40,Alba,Garbova
41,Alba,Stremt
42,Alba,Micesti
43,Alba,Uioara de Sus
44,Alba,Biia
45,Alba,Cut
46,Alba,Abrud-Sat
47,Alba,Uioara de Jos
48,Alba,Sibot
49,Alba,Sugag
50,Alba,Salistea
51,Alba,Jidvei
52,Alba,Telna
53,Alba,Calnic
54,Alba,Cricau
55,Alba,Ighiu
56,Alba,Fenes
57,Alba,Santimbru
58,Alba,Pianu de Jos
59,Alba,Lopadea Noua
60,Alba,Balcaciu
61,Alba,Cenade
62,Alba,Dobra
63,Alba,Sebesel
64,Alba,Bucerdea Vanoasa
65,Alba,Ighiel
66,Alba,Veseus
67,Alba,Cergau Mare
68,Alba,Feisa
69,Alba,Sancrai
70,Alba,Sona
71,Alba,Capalna
72,Alba,Miraslau
73,Alba,Rahau
74,Alba,Capalna de Jos
75,Alba,Geoagiu de Sus
76,Alba,Almasu Mare
77,Alba,Oiejdea
78,Alba,Noslac
79,Alba,Manarade
80,Alba,Rosia de Secas
81,Alba,Livezile
82,Alba,Obreja
83,Alba,Scarisoara
84,Alba,Tatarlaua
85,Alba,Lupsa
86,Alba,Coltesti
87,Alba,Ciuguzel
88,Alba,Tartaria
89,Alba,Rachita
90,Alba,Valea Lupsii
91,Alba,Farau
92,Alba,Decea
93,Alba,Radesti
94,Alba,Panade
95,Alba,Ohaba
96,Alba,Ampoita
97,Alba,Ghirbom
98,Alba,Vingard
99,Alba,Salciua de Jos
100,Alba,Paclisa
101,Alba,Blandiana
102,Alba,Cistei
103,Alba,Berghin
104,Alba,Cisteiu de Mures
105,Alba,Rametea
106,Alba,Balomiru de Camp
107,Alba,Tauti
108,Alba,Magina
109,Alba,Salciua de Sus
110,Alba,Bagau
111,Alba,Dostat
112,Alba,Ciuruleasa
113,Alba,Loman
114,Alba,Spring
115,Alba,Seusa
116,Alba,Cunta
117,Alba,Trampoiele
118,Alba,Musca
119,Alba,Tau
120,Alba,Gambas
121,Alba,Drasov
122,Alba,Totoi
123,Alba,Cetea
124,Alba,Lunca
125,Alba,Beta
126,Alba,Valea Vintului
127,Alba,Gura Ariesului
128,Alba,Posaga de Jos
129,Alba,Martinie
130,Alba,Albac
131,Alba,Ocolis
132,Alba,Valea Mica
133,Alba,Deal
134,Alba,Poiana Aiudului
135,Alba,Benic
136,Alba,Hapria
137,Alba,Acmariu
138,Alba,Henig
139,Alba,Tauni
140,Alba,Sartas
141,Alba,Silea
142,Alba,Izvoru Ampoiului
143,Alba,Geomal
144,Alba,Galda de Sus
145,Alba,Laz
146,Alba,Galati
147,Alba,Garbova de Jos
148,Alba,Matisesti
149,Alba,Presaca Ampoiului
150,Alba,Vurpar
151,Alba,Lunca Tarnavei
152,Alba,Arti
153,Alba,Iclod
154,Alba,Metes
155,Alba,Tibru
156,Alba,Garde
157,Alba,Garda de Sus
158,Alba,Ciugud
159,Alba,Mahaceni
160,Alba,Ciugudu de Jos
161,Alba,Muncelu
162,Alba,Lopadea Veche
163,Alba,Tau Bistra
164,Alba,Patrangeni
165,Alba,Coslariu
166,Alba,Straja
167,Alba,Hoparta
168,Alba,Galtiu
169,Alba,Daroaia
170,Alba,Carpinis
171,Alba,Cib
172,Alba,Captalan
173,Alba,Dumbrava
174,Alba,Purcareti
175,Alba,Teleac
176,Alba,Heria
177,Alba,Cergau Mic
178,Alba,Valea Bistrii
179,Alba,Darlesti
180,Alba,Craiva
181,Alba,Lupu
182,Alba,Sanbenedic
183,Alba,Drambar
184,Alba,Boz
185,Alba,Capud
186,Alba,Hadarau
187,Alba,Turdas
188,Alba,Leorint
189,Alba,Corna
190,Alba,Tarsa
191,Alba,Garbova de Sus
192,Alba,Sagagea
193,Alba,Lazuri
194,Alba,Ungurei
195,Alba,Santamarie
196,Alba,Secasel
197,Alba,Izvoarele
198,Alba,Poiana Ampoiului
199,Alba,Micoslaca
200,Alba,Gabud
201,Alba,Carpinis
202,Alba,Spalnaca
203,Alba,Bacainti
204,Alba,Hodisesti
205,Alba,Dealu Capsei
206,Alba,Fata
207,Alba,Tonea
208,Alba,Petrisat
209,Alba,Brazesti
210,Alba,Ocoale
211,Alba,Cioara de Sus
212,Alba,Barsana
213,Alba,Ciugudu de Sus
214,Alba,Horea
215,Alba,Gura Cornei
216,Alba,Limba
217,Alba,Valeni
218,Alba,Alecus
219,Alba,Ciuldesti
220,Alba,Petelca
221,Alba,Valisoara
222,Alba,Mescreac
223,Alba,Lodroman
224,Alba,Reciu
225,Alba,Dealu Frumos
226,Alba,Glod
227,Alba,Inoc
228,Alba,Posaga de Sus
229,Alba,Dealu Muntelui
230,Alba,Dealu Lamasoi
231,Alba,Medves
232,Alba,Soharu
233,Alba,Valtori
234,Alba,Cicau
235,Alba,Saracsau
236,Alba,Craciunelu de Sus
237,Alba,Lunca
238,Alba,Salistea-Deal
239,Alba,Beldiu
240,Alba,Curaturi
241,Alba,Vama Seaca
242,Alba,Cobles
243,Alba,Almasu de Mijloc
244,Alba,Parau Gruiului
245,Alba,Copand
246,Alba,Geogel
247,Alba,Asinip
248,Alba,Vale In Jos
249,Alba,Carpen
250,Alba,Nadastia
251,Alba,Glogovet
252,Alba,Sohodol
253,Alba,Necsesti
254,Alba,Cretesti
255,Alba,Strungari
256,Alba,Stiuleti
257,Alba,Valea Sesii
258,Alba,Silivas
259,Alba,Stana de Mures
260,Alba,Mesentea
261,Alba,Necrilesti
262,Alba,Fata Cristesei
263,Alba,Barasti
264,Alba,Pitiga
265,Alba,Bucium-Sat
266,Alba,Fericet
267,Alba,Galbena
268,Alba,Runc
269,Alba,Gura Sohodol
270,Alba,Costesti
271,Alba,Mereteu
272,Alba,Lipaia
273,Alba,Vartop
274,Alba,Moraresti
275,Alba,Bradeana
276,Alba,Runc
277,Alba,Vadu Motilor
278,Alba,Sub Piatra
279,Alba,Patrusesti
280,Alba,Poiana Vadului
281,Alba,Valea Larga
282,Alba,Varsi
283,Alba,Lunca Ampoitei
284,Alba,Mihoesti
285,Alba,Valea Morii
286,Alba,Negesti
287,Alba,Poienile-Mogos
288,Alba,Pastesti
289,Alba,Floresti
290,Alba,Matisesti
291,Alba,Dealu Bajului
292,Alba,Avram Iancu
293,Alba,Fagetu de Sus
294,Alba,Dupa Plese
295,Alba,Lazuri
296,Alba,Poiana Galdei
297,Alba,Tarina
298,Alba,Suseni
299,Alba,Vai
300,Alba,Stanesti
301,Alba,Boncesti
302,Alba,Pagida
303,Alba,Garbovita
304,Alba,Pirita
305,Alba,Bodesti
306,Alba,Orasti
307,Alba,Poduri-Bricesti
308,Alba,Fata Abrudului
309,Alba,Vidolm
310,Alba,Modolesti
311,Alba,Inuri
312,Alba,Popestii de Sus
313,Alba,Botesti
314,Alba,Mogos
315,Alba,Ponor
316,Alba,Valea Manastirii
317,Alba,Boglesti
318,Alba,Dric
319,Alba,Lunca Merilor
320,Alba,Trisoresti
321,Alba,Mugesti
322,Alba,Poduri
323,Alba,Costesti
324,Alba,Ganesti
325,Alba,Plai
326,Alba,Plesi
327,Alba,Barlesti
328,Alba,Garda Seaca
329,Alba,Valea Abruzel
330,Alba,Hudricesti
331,Alba,Bilanesti
332,Alba,Fata Lapusului
333,Alba,Buninginea
334,Alba,Izlaz
335,Alba,Poieni
336,Alba,Borlesti
337,Alba,Bucuru
338,Alba,Coasta Hentii
339,Alba,Valea Caselor
340,Alba,Campu Goblii
341,Alba,Cotorasti
342,Alba,Dumitra
343,Alba,Jidostina
344,Alba,Plescuta
345,Alba,Valea Barnii
346,Alba,Coasta Vascului
347,Alba,Valea Negrilesii
348,Alba,Dealu Caselor
349,Alba,Lunca
350,Alba,Tomutesti
351,Alba,Ghioncani
352,Alba,Lunca Metesului
353,Alba,Ormenis
354,Alba,Parau lui Mihai
355,Alba,Cerbu
356,Alba,Ghetari
357,Alba,Duduieni
358,Alba,Dupa Deal
359,Alba,Lunca Larga
360,Alba,Biharia
361,Alba,Intregalde
362,Alba,Pantesti
363,Alba,Dealu Bistrii
364,Alba,Calene
365,Alba,Luminesti
366,Alba,Ratitis
367,Alba,Snide
368,Alba,Bucium
369,Alba,Cionesti
370,Alba,Fagetu de Jos
371,Alba,Feteni
372,Alba,Lespezea
373,Alba,Soal
374,Alba,Dolesti
375,Alba,Fata-Lazesti
376,Alba,Lazesti
377,Alba,Valea Alba
378,Alba,Valea Inzelului
379,Alba,Dandut
380,Alba,Dumbrava
381,Alba,Hanasesti
382,Alba,Ivanis
383,Alba,Lunca Larga
